make,model,variant,year,odometer_km,segment,service_history,panel_paint_condition,mechanical_faults,tyre_condition,keys_count,rego_status,guide_trade_low,guide_trade_high,comps_json,purchase_price_aud,actual_recon_aud,resale_price_aud,purchased_at
Toyota,Hilux,Rogue,2024,38786,ute,partial,excellent,none,worn,1,current,31650.0,35690.0,"[{""sold_at"": ""2026-01-24"", ""price_aud"": 35160.0, ""odometer_km"": 33525, ""match_quality"": 0.98}, {""sold_at"": ""2026-01-11"", ""price_aud"": 30510.0, ""odometer_km"": 29582, ""match_quality"": 0.82}, {""sold_at"": ""2025-12-26"", ""price_aud"": 34930.0, ""odometer_km"": 47882, ""match_quality"": 0.89}, {""sold_at"": ""2025-11-18"", ""price_aud"": 31800.0, ""odometer_km"": 37581, ""match_quality"": 0.8}, {""sold_at"": ""2026-02-02"", ""price_aud"": 32630.0, ""odometer_km"": 42215, ""match_quality"": 0.9}, {""sold_at"": ""2026-01-18"", ""price_aud"": 36540.0, ""odometer_km"": 37160, ""match_quality"": 0.97}]",28810.0,2610.0,39500.0,2026-04-07
Hyundai,i30,Elite,2016,87437,small,partial,good,none,worn,2,current,7310.0,8250.0,"[{""sold_at"": ""2025-05-25"", ""price_aud"": 8160.0, ""odometer_km"": 83252, ""match_quality"": 0.87}, {""sold_at"": ""2025-04-24"", ""price_aud"": 7860.0, ""odometer_km"": 96313, ""match_quality"": 0.87}, {""sold_at"": ""2025-04-22"", ""price_aud"": 7140.0, ""odometer_km"": 94596, ""match_quality"": 0.64}, {""sold_at"": ""2025-06-15"", ""price_aud"": 7810.0, ""odometer_km"": 82770, ""match_quality"": 0.8}, {""sold_at"": ""2025-07-19"", ""price_aud"": 7730.0, ""odometer_km"": 79066, ""match_quality"": 0.94}, {""sold_at"": ""2025-04-17"", ""price_aud"": 8010.0, ""odometer_km"": 72948, ""match_quality"": 0.69}]",4830.0,1347.0,,2025-07-31
Subaru,Forester,2.5i-S,2018,92731,suv,partial,good,none,good,2,current,12200.0,13760.0,"[{""sold_at"": ""2025-02-14"", ""price_aud"": 14150.0, ""odometer_km"": 91854, ""match_quality"": 0.75}, {""sold_at"": ""2025-01-13"", ""price_aud"": 12200.0, ""odometer_km"": 92949, ""match_quality"": 0.79}, {""sold_at"": ""2025-03-04"", ""price_aud"": 12760.0, ""odometer_km"": 69621, ""match_quality"": 0.82}, {""sold_at"": ""2025-03-11"", ""price_aud"": 12870.0, ""odometer_km"": 70845, ""match_quality"": 0.69}]",7150.0,3216.0,,2025-06-08
Honda,CR-V,VTi-L,2023,52000,suv,full,fair,none,replace,2,current,21560.0,24320.0,"[{""sold_at"": ""2025-04-01"", ""price_aud"": 21980.0, ""odometer_km"": 43354, ""match_quality"": 0.7}, {""sold_at"": ""2025-05-16"", ""price_aud"": 23660.0, ""odometer_km"": 55853, ""match_quality"": 0.72}, {""sold_at"": ""2025-04-07"", ""price_aud"": 22920.0, ""odometer_km"": 41968, ""match_quality"": 0.72}, {""sold_at"": ""2025-04-02"", ""price_aud"": 22580.0, ""odometer_km"": 43889, ""match_quality"": 0.64}]",18500.0,2561.0,26450.0,2025-07-03
BMW,3 Series,M340i,2015,172676,prestige,full,fair,none,good,2,unregistered,15140.0,17080.0,"[{""sold_at"": ""2026-04-13"", ""price_aud"": 16670.0, ""odometer_km"": 198869, ""match_quality"": 0.86}, {""sold_at"": ""2026-04-05"", ""price_aud"": 14690.0, ""odometer_km"": 155288, ""match_quality"": 0.99}, {""sold_at"": ""2026-07-11"", ""price_aud"": 15490.0, ""odometer_km"": 203629, ""match_quality"": 0.72}]",11860.0,2870.0,17610.0,2026-07-28
Toyota,Corolla,ZR,2023,58423,small,full,fair,none,good,2,expired,16270.0,18350.0,"[{""sold_at"": ""2025-03-27"", ""price_aud"": 17560.0, ""odometer_km"": 70007, ""match_quality"": 0.84}, {""sold_at"": ""2025-01-12"", ""price_aud"": 15940.0, ""odometer_km"": 63270, ""match_quality"": 0.72}, {""sold_at"": ""2025-01-11"", ""price_aud"": 15640.0, ""odometer_km"": 61698, ""match_quality"": 0.76}]",11930.0,2587.0,,2025-05-23
Honda,CR-V,VTi-L,2024,31671,suv,full,good,none,new,2,current,24430.0,27550.0,"[{""sold_at"": ""2026-03-20"", ""price_aud"": 24270.0, ""odometer_km"": 38179, ""match_quality"": 0.69}, {""sold_at"": ""2026-01-28"", ""price_aud"": 26510.0, ""odometer_km"": 37072, ""match_quality"": 0.75}, {""sold_at"": ""2026-01-26"", ""price_aud"": 23980.0, ""odometer_km"": 27477, ""match_quality"": 0.98}]",22590.0,304.0,29850.0,2026-04-28
Honda,Civic,VTi,2016,109906,small,partial,excellent,aircon weak,new,2,current,8120.0,9160.0,"[{""sold_at"": ""2025-12-21"", ""price_aud"": 8410.0, ""odometer_km"": 98671, ""match_quality"": 0.81}, {""sold_at"": ""2026-01-29"", ""price_aud"": 8570.0, ""odometer_km"": 97661, ""match_quality"": 0.91}, {""sold_at"": ""2025-12-14"", ""price_aud"": 7800.0, ""odometer_km"": 119270, ""match_quality"": 0.64}]",4460.0,2029.0,9420.0,2026-03-04
Subaru,Outback,AWD Sport,2021,87936,medium,partial,good,none,worn,2,current,18140.0,20460.0,"[{""sold_at"": ""2025-08-17"", ""price_aud"": 17480.0, ""odometer_km"": 100548, ""match_quality"": 0.97}, {""sold_at"": ""2025-06-07"", ""price_aud"": 19110.0, ""odometer_km"": 79726, ""match_quality"": 0.63}, {""sold_at"": ""2025-06-07"", ""price_aud"": 21110.0, ""odometer_km"": 108592, ""match_quality"": 0.64}, {""sold_at"": ""2025-07-03"", ""price_aud"": 20400.0, ""odometer_km"": 100155, ""match_quality"": 0.96}, {""sold_at"": ""2025-04-29"", ""price_aud"": 19920.0, ""odometer_km"": 77343, ""match_quality"": 0.82}]",14210.0,1576.0,21190.0,2025-09-01
Honda,Civic,VTi-S,2022,76774,small,none,fair,WL:abs; rear brakes,good,1,current,15310.0,17270.0,"[{""sold_at"": ""2026-02-06"", ""price_aud"": 16650.0, ""odometer_km"": 88580, ""match_quality"": 0.64}, {""sold_at"": ""2026-04-30"", ""price_aud"": 14730.0, ""odometer_km"": 66937, ""match_quality"": 0.63}, {""sold_at"": ""2026-02-04"", ""price_aud"": 17490.0, ""odometer_km"": 85571, ""match_quality"": 0.61}]",6840.0,5379.0,18400.0,2026-06-30
Mercedes-Benz,C-Class,C200,2017,191581,prestige,none,excellent,none,replace,2,current,18880.0,21300.0,"[{""sold_at"": ""2026-01-19"", ""price_aud"": 20270.0, ""odometer_km"": 212906, ""match_quality"": 0.91}, {""sold_at"": ""2025-10-06"", ""price_aud"": 21460.0, ""odometer_km"": 215163, ""match_quality"": 0.88}, {""sold_at"": ""2026-01-10"", ""price_aud"": 19280.0, ""odometer_km"": 195172, ""match_quality"": 0.62}, {""sold_at"": ""2025-12-23"", ""price_aud"": 19100.0, ""odometer_km"": 149856, ""match_quality"": 0.99}]",16600.0,1358.0,24000.0,2026-03-01
Ford,Focus,ST-Line,2015,215867,small,none,fair,none,good,2,current,5470.0,6170.0,"[{""sold_at"": ""2025-10-11"", ""price_aud"": 5890.0, ""odometer_km"": 180483, ""match_quality"": 0.64}, {""sold_at"": ""2025-09-18"", ""price_aud"": 5250.0, ""odometer_km"": 218964, ""match_quality"": 0.8}, {""sold_at"": ""2025-09-30"", ""price_aud"": 6320.0, ""odometer_km"": 230881, ""match_quality"": 0.69}, {""sold_at"": ""2025-11-01"", ""price_aud"": 5810.0, ""odometer_km"": 213581, ""match_quality"": 0.69}, {""sold_at"": ""2025-10-07"", ""price_aud"": 5630.0, ""odometer_km"": 227878, ""match_quality"": 0.89}]",2780.0,2033.0,7020.0,2026-01-25
Honda,Civic,VTi-L,2023,37082,small,full,fair,none,worn,2,current,17780.0,20060.0,"[{""sold_at"": ""2025-10-08"", ""price_aud"": 17620.0, ""odometer_km"": 35723, ""match_quality"": 0.98}, {""sold_at"": ""2025-11-09"", ""price_aud"": 18900.0, ""odometer_km"": 35109, ""match_quality"": 0.85}, {""sold_at"": ""2025-08-16"", ""price_aud"": 18980.0, ""odometer_km"": 30867, ""match_quality"": 0.89}, {""sold_at"": ""2025-11-12"", ""price_aud"": 19010.0, ""odometer_km"": 29487, ""match_quality"": 0.7}, {""sold_at"": ""2025-10-28"", ""price_aud"": 18040.0, ""odometer_km"": 44736, ""match_quality"": 0.98}, {""sold_at"": ""2025-10-18"", ""price_aud"": 20700.0, ""odometer_km"": 39249, ""match_quality"": 0.99}]",14870.0,2290.0,,2025-11-27
Mazda,CX-5,Touring,2021,57924,suv,full,fair,none,good,2,current,17560.0,19800.0,"[{""sold_at"": ""2025-02-04"", ""price_aud"": 17740.0, ""odometer_km"": 65152, ""match_quality"": 0.6}, {""sold_at"": ""2025-02-27"", ""price_aud"": 18790.0, ""odometer_km"": 60214, ""match_quality"": 0.61}, {""sold_at"": ""2025-02-13"", ""price_aud"": 19930.0, ""odometer_km"": 49426, ""match_quality"": 0.71}, {""sold_at"": ""2024-11-29"", ""price_aud"": 17560.0, ""odometer_km"": 52454, ""match_quality"": 0.9}, {""sold_at"": ""2024-12-23"", ""price_aud"": 19770.0, ""odometer_km"": 66863, ""match_quality"": 0.99}]",14970.0,814.0,,2025-04-21
Honda,Civic,VTi-L,2018,88026,small,partial,fair,none,replace,2,unregistered,10170.0,11470.0,"[{""sold_at"": ""2025-11-03"", ""price_aud"": 10440.0, ""odometer_km"": 71472, ""match_quality"": 0.89}, {""sold_at"": ""2025-12-19"", ""price_aud"": 10400.0, ""odometer_km"": 83598, ""match_quality"": 0.91}, {""sold_at"": ""2025-11-12"", ""price_aud"": 9980.0, ""odometer_km"": 106415, ""match_quality"": 0.75}, {""sold_at"": ""2025-10-27"", ""price_aud"": 9750.0, ""odometer_km"": 78238, ""match_quality"": 0.84}, {""sold_at"": ""2025-11-08"", ""price_aud"": 10170.0, ""odometer_km"": 106657, ""match_quality"": 0.84}]",6710.0,2153.0,13180.0,2026-03-23
Nissan,Navara,SL,2017,117923,ute,partial,good,none,good,2,unregistered,13110.0,14790.0,"[{""sold_at"": ""2025-08-19"", ""price_aud"": 15310.0, ""odometer_km"": 103042, ""match_quality"": 0.99}, {""sold_at"": ""2025-10-10"", ""price_aud"": 14310.0, ""odometer_km"": 112439, ""match_quality"": 0.85}, {""sold_at"": ""2025-09-13"", ""price_aud"": 14740.0, ""odometer_km"": 138339, ""match_quality"": 0.91}]",10890.0,1645.0,15270.0,2025-12-28
Nissan,Navara,ST-X,2021,94812,ute,full,good,none,good,2,current,19950.0,22490.0,"[{""sold_at"": ""2026-05-02"", ""price_aud"": 20800.0, ""odometer_km"": 103767, ""match_quality"": 0.84}, {""sold_at"": ""2026-04-02"", ""price_aud"": 21340.0, ""odometer_km"": 82355, ""match_quality"": 0.73}, {""sold_at"": ""2026-05-08"", ""price_aud"": 19420.0, ""odometer_km"": 110488, ""match_quality"": 0.81}, {""sold_at"": ""2026-02-20"", ""price_aud"": 21080.0, ""odometer_km"": 97544, ""match_quality"": 0.62}]",16320.0,538.0,,2026-05-30
Subaru,Forester,2.5i,2019,76891,suv,full,good,none,good,1,current,13720.0,15480.0,"[{""sold_at"": ""2025-10-29"", ""price_aud"": 14060.0, ""odometer_km"": 74267, ""match_quality"": 0.9}, {""sold_at"": ""2025-12-03"", ""price_aud"": 13690.0, ""odometer_km"": 81730, ""match_quality"": 0.67}, {""sold_at"": ""2025-10-19"", ""price_aud"": 14840.0, ""odometer_km"": 93535, ""match_quality"": 0.66}]",12250.0,1252.0,17260.0,2026-02-14
Audi,A4,35 TFSI,2022,40699,prestige,full,excellent,none,good,2,current,32960.0,37160.0,"[{""sold_at"": ""2026-04-01"", ""price_aud"": 35020.0, ""odometer_km"": 41279, ""match_quality"": 0.89}, {""sold_at"": ""2025-12-17"", ""price_aud"": 33960.0, ""odometer_km"": 47574, ""match_quality"": 0.65}, {""sold_at"": ""2026-02-24"", ""price_aud"": 32220.0, ""odometer_km"": 38658, ""match_quality"": 0.8}, {""sold_at"": ""2026-01-03"", ""price_aud"": 36820.0, ""odometer_km"": 50333, ""match_quality"": 0.69}]",26420.0,1509.0,39510.0,2026-04-14
Mazda,BT-50,XT,2020,124512,ute,full,good,WL:abs; rear brakes,replace,1,current,18040.0,20340.0,"[{""sold_at"": ""2025-11-22"", ""price_aud"": 17330.0, ""odometer_km"": 102422, ""match_quality"": 0.87}, {""sold_at"": ""2025-11-15"", ""price_aud"": 19440.0, ""odometer_km"": 109207, ""match_quality"": 0.63}, {""sold_at"": ""2025-09-13"", ""price_aud"": 20750.0, ""odometer_km"": 95592, ""match_quality"": 0.62}, {""sold_at"": ""2025-10-27"", ""price_aud"": 17440.0, ""odometer_km"": 110416, ""match_quality"": 0.65}]",12570.0,3175.0,22580.0,2025-12-04
Nissan,X-Trail,ST,2018,101405,suv,full,good,none,good,2,current,11810.0,13310.0,"[{""sold_at"": ""2025-06-23"", ""price_aud"": 12680.0, ""odometer_km"": 103336, ""match_quality"": 0.88}, {""sold_at"": ""2025-05-07"", ""price_aud"": 12370.0, ""odometer_km"": 109638, ""match_quality"": 0.89}, {""sold_at"": ""2025-09-03"", ""price_aud"": 11940.0, ""odometer_km"": 125559, ""match_quality"": 0.66}]",10900.0,460.0,,2025-09-26
Toyota,Camry,Ascent,2025,11179,medium,none,fair,none,good,1,current,27630.0,31150.0,"[{""sold_at"": ""2026-06-19"", ""price_aud"": 30780.0, ""odometer_km"": 9893, ""match_quality"": 0.7}, {""sold_at"": ""2026-04-03"", ""price_aud"": 26960.0, ""odometer_km"": 8575, ""match_quality"": 0.75}, {""sold_at"": ""2026-04-20"", ""price_aud"": 28290.0, ""odometer_km"": 9110, ""match_quality"": 0.92}, {""sold_at"": ""2026-05-27"", ""price_aud"": 31480.0, ""odometer_km"": 10082, ""match_quality"": 0.77}, {""sold_at"": ""2026-04-24"", ""price_aud"": 29410.0, ""odometer_km"": 9532, ""match_quality"": 0.97}, {""sold_at"": ""2026-02-15"", ""price_aud"": 31060.0, ""odometer_km"": 13729, ""match_quality"": 0.83}]",20550.0,1891.0,35800.0,2026-06-30
